ticker,side,date,price,shares,reason,turnover,fees_inr,pnl_inr,rsi,adx,ema_fast,ema_slow,ema_htf,trend_strength,close,high_52w,volar,mvo_weight,alloc_inr
CRISIL.NS,BUY,2020-01-15,1658.502685546875,5,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=90.8% (>= 70%); VOLAR rank 3/3 (VOLAR=0.16); MVO weight=17.0% of capped cash (25% of available),8292.513427734375,19.631746043898925,0.0,41.868350199729825,54.2260479113363,1677.8708228321664,1553.5531030825744,1387.7892482896611,0.07522790365734626,1652.5479736328125,1820.9266357421875,0.16345699517186504,0.16976520212065646,8488.260106032823
PFIZER.NS,BUY,2020-01-15,3556.628662109375,10,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=92.3% (>= 70%); VOLAR rank 1/3 (VOLAR=0.90); MVO weight=72.3% of capped cash (25% of available),35566.28662109375,65.83162213160644,0.0,36.808408010279734,27.03752909457755,3564.8463551811233,3534.6282289791648,3090.3451204767694,0.008456796478322422,3573.235595703125,3869.756591796875,0.8974076699893725,0.7231750932109289,36158.754660546445
SCI.NS,BUY,2020-01-15,57.84661102294922,92,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=87.4% (>= 70%); VOLAR rank 2/3 (VOLAR=0.54); MVO weight=10.7% of capped cash (25% of available),5321.888214111328,12.599070089416442,0.0,38.18182550171487,35.39210298991727,57.028392535341496,55.208637800076836,44.41301649371758,0.03206223380262714,56.756954193115234,64.90569305419922,0.5426651862388319,0.10705970466841468,5352.9852334207335
MGL.NS,BUY,2020-01-16,963.26904296875,39,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=100.0% (>= 70%); VOLAR rank 1/1 (VOLAR=0.57); MVO weight=100.0% of capped cash (25% of available),37567.49267578125,68.20786620817871,0.0,65.79831267935873,29.791660984573337,891.9403636343775,875.3238276792391,805.8298168492644,0.017636360891874724,942.1748657226562,942.1748657226562,0.574180119217778,1.0,37680.31232469891
MGL.NS,SELL,2020-01-20,976.4047836460414,39,indicator_exit,38079.786562195615,86.7041990583411,357.38182114784627,70.05886058747254,33.206216870328944,917.2782821481937,882.4654607205017,809.0435674633978,0.03578109040526909,972.9390869140625,972.9390869140625,,,
PFIZER.NS,SELL,2020-01-23,3487.448104467,10,indicator_exit,34874.48104467,83.37899588262691,-841.0161944379821,25.46202780578416,19.238995456543822,3529.58805854583,3531.706024032456,3115.4935756958344,-0.0006071283971756184,3488.496826171875,3869.756591796875,,,
GPIL.NS,BUY,2020-01-24,57.46931838989258,508,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=85.0% (>= 70%); VOLAR rank 1/2 (VOLAR=-0.05); MVO weight=62.8% of capped cash (25% of available),29194.41374206543,58.26562204381094,0.0,42.79858710191432,36.36203295158471,58.5245477496309,50.8006076090892,48.23824635171574,0.13064999994529303,59.119327545166016,69.5205078125,-0.05258393409783695,0.6282888592308974,29194.970654533307
HINDCOPPER.NS,BUY,2020-01-24,45.50674057006836,379,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=89.3% (>= 70%); VOLAR rank 2/2 (VOLAR=-0.14); MVO weight=37.2% of capped cash (25% of available),17247.05467605591,40.83078072242281,0.0,41.49999157431396,32.799884235861526,44.35073335104425,41.01995361433405,39.62757710671512,0.07595510838739856,43.851951599121094,49.1042366027832,-0.1401248542226441,0.3717111407691026,17272.462637649416
GPIL.NS,SELL,2020-01-27,56.256252307924235,508,stop,28578.176172425512,76.84717143033126,-751.3503631140603,48.34655291462094,34.424338879175615,58.33268786604211,51.06212567892462,48.33009781478218,0.12651206575639837,57.46931838989258,69.5205078125,,,
MFSL.NS,BUY,2020-01-27,514.1500244140625,81,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=93.4% (>= 70%); VOLAR rank 1/1 (VOLAR=0.20); MVO weight=100.0% of capped cash (25% of available),41646.15197753906,73.05089073504175,0.0,40.23861516001532,28.795945869337654,522.4829864218337,510.2872404893783,462.1361419684751,0.023139638013322715,527.0499877929688,564.0499877929688,0.2007809626011921,1.0,41957.62433720962
CRISIL.NS,SELL,2020-01-29,1570.877950557883,5,stop,7854.389752789415,41.016370964173774,-498.7717919530329,38.59820383911957,38.50754555676001,1647.4538901921503,1585.207456116089,1412.8206738462015,0.038643802437148274,1610.7740478515625,1820.9266357421875,,,
