ticker,entry_date,entry_price,exit_date,exit_price,days_held,shares,entry_reason,exit_reason,gross_pnl_inr,fees_total_inr,net_pnl_inr,return_pct,cci_entry,ema_fast_entry,ema_slow_entry,sma_trend_entry,close_entry,high_52w_entry,volar_entry,mvo_weight_entry,alloc_inr_entry
APLLTD.NS,2016-01-11,591.1349487304688,2016-01-12,589.3498005231841,1,70,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=86.6% (>= 50%); VOLAR rank 1/5 (VOLAR=1.49); MVO weight=33.6% of capped cash (25% of available),indicator_exit: EMA10<20,-124.96037450992844,162.73185428656635,-287.69222879649476,-0.3019865787192044,-76.72485961460755,606.6750340713959,608.5097667302919,566.6286003112793,597.1602172851562,689.3456420898438,1.4875092017119746,0.33550696531763435,41938.37066470429
GILLETTE.NS,2016-01-11,4034.906982421875,2016-01-12,4002.5408436190864,1,10,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=84.7% (>= 50%); VOLAR rank 2/5 (VOLAR=1.38); MVO weight=32.4% of capped cash (25% of available),indicator_exit: EMA10<20,-323.66138802788555,160.2333264678513,-483.8947144957368,-0.8021532824372901,-69.95901144390311,4066.406140072313,4077.952647662836,4121.295803222656,4060.031982421875,4792.025390625,1.3849218105914949,0.32364351562143034,40455.439452678795
MAHSCOOTER.NS,2016-01-11,1137.82373046875,2016-01-12,1141.0838802388714,1,23,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=93.2% (>= 50%); VOLAR rank 3/5 (VOLAR=1.20); MVO weight=21.1% of capped cash (25% of available),indicator_exit: EMA10<20,74.98344471279256,129.10099773237346,-54.117553019580896,0.28652502868597995,-77.47816754483173,1174.8937715520144,1180.3251404357663,914.925661315918,1168.2105712890625,1253.4366455078125,1.199760399908203,0.21085659716340177,26357.074645425222
MPHASIS.NS,2016-01-11,359.7268981933594,2016-01-12,361.4180784838492,1,45,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=90.8% (>= 50%); VOLAR rank 4/5 (VOLAR=0.97); MVO weight=13.0% of capped cash (25% of available),indicator_exit: EMA10<20,76.10311307204086,97.98636047973076,-21.883247407689908,0.47012895031852686,-87.67895519198495,370.49335887480817,373.1981642191529,318.7810299682617,360.49560546875,396.9718322753906,0.9657327723824582,0.12999292189753353,16249.11523719169
NATIONALUM.NS,2016-01-12,21.286752700805664,2016-01-13,21.48332517211502,1,5862,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=73.8% (>= 50%); VOLAR rank 2/2 (VOLAR=-0.62); MVO weight=100.0% of capped cash (25% of available),indicator_exit: EMA10<20,1152.3078268154434,349.6140029988241,802.6938238166192,0.9234497815249876,-58.73258820701741,21.846737980141427,22.08008219061256,22.431983480453493,21.932649612426758,29.71861457824707,-0.6226996699510255,1.0,124788.10306407014
APLLTD.NS,2016-01-13,588.0108032226562,2016-01-14,554.3948642935868,1,73,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=88.2% (>= 50%); VOLAR rank 2/5 (VOLAR=1.45); MVO weight=34.5% of capped cash (25% of available),stop,-2453.9635418220696,163.753828351109,-2617.7173701731786,-5.716891381048395,-40.5195356866872,604.5727278862494,606.9475881753707,568.6395468139649,607.8269653320312,689.3456420898438,1.4509165991605046,0.3451069804312782,43134.49925262543
GLAXO.NS,2016-01-13,1330.5682373046875,2016-01-14,1328.710143955445,1,2,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=87.1% (>= 50%); VOLAR rank 5/5 (VOLAR=0.75); MVO weight=2.4% of capped cash (25% of available),indicator_exit: EMA10<20,-3.7161866984852168,41.31667316797051,-45.03285986645572,-0.13964660339453872,-64.13529310571838,1321.0794225240334,1322.7668802947844,1329.8043969726561,1320.8536376953125,1516.353271484375,0.7511172186745164,0.0238531602108895,2981.377310895203
GODREJCP.NS,2016-01-13,393.3700866699219,2016-01-14,391.46828571017676,1,65,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=90.2% (>= 50%); VOLAR rank 3/5 (VOLAR=1.06); MVO weight=20.5% of capped cash (25% of available),indicator_exit: EMA10<20,-123.6170623834326,127.5581007199594,-251.17516310339198,-0.4834635434139978,-60.574859717424346,395.10045514453157,396.43908473717426,375.00570709228515,392.5041809082031,435.1983337402344,1.056643592169729,0.20463906697086653,25577.586608887923
JUBLPHARMA.NS,2016-01-13,261.18438720703125,2016-01-14,254.74216167271382,1,204,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=90.9% (>= 50%); VOLAR rank 1/5 (VOLAR=2.21); MVO weight=42.6% of capped cash (25% of available),stop,-1314.2140090007556,187.97820291143188,-1502.1922119121875,-2.4665431204396238,-76.8705430877291,283.2485149780914,285.0370494388432,196.8310404586792,280.3054504394531,308.5072937011719,2.2120035022572813,0.4264007923869658,53295.31334761575
EMAMILTD.NS,2016-01-14,435.43084716796875,2016-01-15,436.143343666394,1,93,CCI↑-100 + EMA10>20 + Close>SMA200; 52w%=74.4% (>= 50%); VOLAR rank 2/5 (VOLAR=1.03); MVO weight=33.0% of capped cash (25% of available),indicator_exit: EMA10<20,66.26217435354852,160.96265575454748,-94.70048140099897,0.16363023039347446,-21.544522992815754,422.01223577293916,424.0960418130775,469.57765228271484,427.46368408203125,574.543212890625,1.028100763028189,0.33019515162117696,40906.142858430285
