ticker,side,date,price,shares,reason,turnover,fees_inr,pnl_inr,cci,ema_fast,ema_slow,sma_trend,close,high_52w,volar,mvo_weight,alloc_inr
APLLTD.NS,BUY,2016-01-11,591.1350708007812,70,CCI↑-100; 52w%=86.6% (>= 50%); VOLAR rank 1/5 (VOLAR=1.49); MVO weight=33.6% of capped cash (25% of available),41379.45495605469,72.73421309154907,0.0,-76.72532944805398,606.6750190234136,608.5097639492484,566.6286018371582,597.16015625,689.3455810546875,1.4875099743140208,0.33550728828881515,41938.4110361019
GILLETTE.NS,BUY,2016-01-11,4034.9072265625,10,CCI↑-100; 52w%=84.7% (>= 50%); VOLAR rank 2/5 (VOLAR=1.38); MVO weight=32.4% of capped cash (25% of available),40349.072265625,71.51073050263673,0.0,-69.95959337348482,4066.406580069617,4077.9528950967747,4121.2957763671875,4060.0322265625,4792.0263671875,1.384921914772072,0.32364342689730946,40455.428362163686
MAHSCOOTER.NS,BUY,2016-01-11,1137.8236083984375,23,CCI↑-100; 52w%=93.2% (>= 50%); VOLAR rank 3/5 (VOLAR=1.20); MVO weight=21.1% of capped cash (25% of available),26169.942993164062,54.67434732974097,0.0,-77.47774992036173,1174.8938408733281,1180.3251965220177,914.9256735229492,1168.2108154296875,1253.436767578125,1.1997597589042575,0.21085649302335474,26357.061627919342
MPHASIS.NS,BUY,2016-01-11,359.7269287109375,45,CCI↑-100; 52w%=90.8% (>= 50%); VOLAR rank 4/5 (VOLAR=0.97); MVO weight=13.0% of capped cash (25% of available),16187.711791992188,38.322886022633064,0.0,-87.67916224946016,370.49337138133484,373.1981772506706,318.78103134155276,360.4955749511719,396.9718017578125,0.9657333466899153,0.1299927917905206,16249.098973815073
TATAMOTORS.NS,BUY,2016-01-12,348.580078125,269,CCI↑-100; 52w%=60.2% (>= 50%); VOLAR rank 1/1 (VOLAR=-0.62); MVO weight=100.0% of capped cash (25% of available),93768.041015625,134.94073451019923,0.0,-94.41754876969557,362.4392764910989,370.308598721065,408.4174452209473,353.68609619140625,587.3175659179688,-0.6180961070143286,1.0,93919.14395405437
APLLTD.NS,SELL,2016-01-14,531.0173705086972,70,stop,37171.21593560881,85.76164243889619,-4366.734875976326,-69.03843747247963,601.5615087640447,605.1441097421905,569.6109973144531,588.010986328125,689.3455810546875,,,
EMAMILTD.NS,BUY,2016-01-14,435.43084716796875,99,CCI↑-100; 52w%=74.4% (>= 50%); VOLAR rank 1/2 (VOLAR=1.03); MVO weight=50.4% of capped cash (25% of available),43107.653869628906,74.78628685072059,0.0,-21.544336423536073,422.0122237197789,424.09603056399845,469.57764221191405,427.46368408203125,574.5433349609375,1.0281011047150432,0.5043943541746726,43253.43048138636
INDUSINDBK.NS,BUY,2016-01-14,867.150634765625,49,CCI↑-100; 52w%=96.2% (>= 50%); VOLAR rank 2/2 (VOLAR=0.77); MVO weight=49.6% of capped cash (25% of available),42490.381103515625,74.05333346460108,0.0,-68.45053137137208,886.2298111362601,888.0163615388585,849.2688757324219,885.4961547851562,920.664794921875,0.7723629179153362,0.4956056458253274,42499.7706069978
MAHSCOOTER.NS,SELL,2016-01-14,1053.308186244628,23,stop,24226.088283626443,72.33228934196377,-2070.8613462093253,-191.942184248304,1149.2661267715885,1164.5880832533176,920.8877841186523,1096.234619140625,1253.436767578125,,,
BAJFINANCE.NS,BUY,2016-01-21,55.579288482666016,1544,CCI↑-100; 52w%=89.3% (>= 50%); VOLAR rank 1/1 (VOLAR=2.02); MVO weight=100.0% of capped cash (25% of available),85814.42141723633,125.49655887735493,0.0,-94.15941738004189,56.793774741425786,57.06990396577928,49.45044111251831,54.5857048034668,61.120235443115234,2.0197754170634847,1.0,85837.74512108002
