ticker,signal_date,entry_date,entry_price,fast_sma,slow_sma,atr,notes
ITC.NS,2021-09-20,2021-09-21,234.949997,210.185,209.96525,4.892856,Entry at next open
ITC.NS,2024-07-24,2024-07-25,490.0,438.378998,437.54025,11.260714,Entry at next open
ITI.NS,2021-07-09,2021-07-12,129.75,123.499,123.20725,4.525001,Entry at next open
ITI.NS,2022-08-18,2022-08-19,115.550003,107.106,106.66175,3.496429,Entry at next open
ITI.NS,2023-06-26,2023-06-27,108.900002,104.061,103.78425,2.935714,Entry at next open
ITI.NS,2024-12-27,2024-12-30,327.700012,288.413601,287.704151,24.45357,Entry at next open
ITI.NS,2025-06-27,2025-06-30,321.950012,294.980198,294.7844,11.228579,Entry at next open
INDIACEM.NS,2022-09-14,2022-09-15,262.899994,198.203001,197.171001,10.214285,Entry at next open
INDIACEM.NS,2023-07-28,2023-07-31,215.199997,211.518,211.18175,5.060713,Entry at next open
INDIACEM.NS,2024-07-15,2024-07-16,310.0,234.317801,233.822951,16.404997,Entry at next open
INDIACEM.NS,2025-07-07,2025-07-08,346.0,327.418003,327.166001,12.421435,Entry at next open
INDIAMART.NS,2021-09-13,2021-09-14,4387.5,3722.47752,3715.531375,187.542864,Entry at next open
INDIAMART.NS,2022-11-09,2022-11-10,2382.399902,2264.113989,2258.039,53.525024,Entry at next open
INDIAMART.NS,2024-07-26,2024-07-29,3064.0,2663.777998,2663.674999,111.364258,Entry at next open
INDIAMART.NS,2025-06-27,2025-06-30,2615.800049,2375.192017,2370.296242,78.63569,Entry at next open
INDIANB.NS,2020-11-20,2020-11-23,63.200001,59.788,59.657,2.27857,Entry at next open
INDIANB.NS,2024-12-02,2024-12-03,582.650024,540.058999,539.9795,22.042864,Entry at next open
INDIANB.NS,2025-05-13,2025-05-14,581.900024,542.380999,542.372999,20.314292,Entry at next open
IEX.NS,2023-05-08,2023-05-09,160.399994,147.945,147.7255,3.05357,Entry at next open
IEX.NS,2023-12-21,2023-12-22,148.100006,138.628,138.34075,6.203569,Entry at next open
IEX.NS,2025-05-27,2025-05-28,199.449997,184.264201,184.005701,5.467858,Entry at next open
INDHOTEL.NS,2020-10-20,2020-10-21,95.658005,95.404924,95.061661,3.653579,Entry at next open
IOC.NS,2020-12-22,2020-12-23,58.799999,56.201332,56.046166,2.078571,Entry at next open
IOC.NS,2023-01-11,2023-01-12,83.75,74.703,74.52375,1.725002,Entry at next open
IOC.NS,2025-06-24,2025-06-25,143.309998,140.934,140.5554,3.267858,Entry at next open
IOB.NS,2022-11-04,2022-11-07,22.4,18.109,18.09575,0.753572,Entry at next open
IRCTC.NS,2020-12-07,2020-12-08,341.359985,271.985199,271.6779,9.552856,Entry at next open
IRCTC.NS,2022-11-01,2022-11-02,742.0,717.047001,717.032001,15.43573,Entry at next open
IRCTC.NS,2023-09-04,2023-09-05,707.849976,641.343998,640.04625,14.807142,Entry at next open
IRFC.NS,2022-10-27,2022-10-28,22.299999,21.628,21.62575,0.257143,Entry at next open
IRFC.NS,2025-07-21,2025-07-22,135.039993,138.4184,138.20115,2.154999,Entry at next open
IREDA.NS,2025-01-03,2025-01-06,231.449997,205.9514,205.93585,9.02857,Entry at next open
IGL.NS,2020-12-14,2020-12-15,249.949997,213.0685,212.532125,8.757144,Entry at next open
IGL.NS,2022-09-22,2022-09-23,213.625,198.0615,197.841625,6.482142,Entry at next open
IGL.NS,2024-04-29,2024-04-30,232.274994,218.8175,218.55075,7.582145,Entry at next open
IGL.NS,2025-07-04,2025-07-07,227.0,206.428,206.379525,5.812141,Entry at next open
INDUSTOWER.NS,2020-12-11,2020-12-14,245.149994,197.857,197.05475,11.742857,Entry at next open
INDUSTOWER.NS,2021-10-11,2021-10-12,305.0,249.047001,248.328,17.003562,Entry at next open
INDUSTOWER.NS,2023-08-29,2023-08-30,175.949997,167.235,167.2005,4.992853,Entry at next open
INDUSTOWER.NS,2025-05-21,2025-05-22,386.0,369.136002,369.13125,12.19286,Entry at next open
INDUSINDBK.NS,2020-11-12,2020-11-13,760.049988,620.821,620.68525,42.821433,Entry at next open
INDUSINDBK.NS,2022-08-26,2022-08-29,1050.0,933.832992,930.474748,27.749991,Entry at next open
INDUSINDBK.NS,2023-06-06,2023-06-07,1309.949951,1158.915004,1156.087249,23.507141,Entry at next open
NAUKRI.NS,2023-06-12,2023-06-13,855.099976,774.374802,772.653748,33.749285,Entry at next open
INFY.NS,2022-12-26,2022-12-27,1509.949951,1556.749004,1554.371001,31.092861,Entry at next open
INFY.NS,2023-09-22,2023-09-25,1489.849976,1421.409988,1417.513501,20.307164,Entry at next open
INFY.NS,2024-07-18,2024-07-19,1844.0,1522.303999,1521.2635,34.635716,Entry at next open
INOXWIND.NS,2022-09-22,2022-09-23,35.75,27.4475,27.1915,2.327678,Entry at next open
INOXWIND.NS,2023-06-19,2023-06-20,40.6875,29.94875,29.856938,2.508928,Entry at next open
INTELLECT.NS,2022-02-07,2022-02-08,719.75,709.943002,708.743252,38.285714,Entry at next open
INTELLECT.NS,2023-06-06,2023-06-07,594.0,480.039,479.790001,15.353577,Entry at next open
INTELLECT.NS,2025-06-03,2025-06-04,1181.5,851.858002,847.109251,47.817854,Entry at next open
INDIGO.NS,2022-09-13,2022-09-14,1907.0,1890.317,1890.123007,46.8607,Entry at next open
INDIGO.NS,2022-12-15,2022-12-16,2017.949951,1838.317993,1834.315753,42.728559,Entry at next open
INDIGO.NS,2023-05-10,2023-05-11,2233.0,1935.582004,1931.562003,44.149972,Entry at next open
INDIGO.NS,2025-03-25,2025-03-26,5020.0,4449.155,4438.256254,119.303606,Entry at next open
IPCALAB.NS,2021-06-08,2021-06-09,1024.974976,1041.080005,1039.991626,40.94822,Entry at next open
IPCALAB.NS,2021-08-09,2021-08-10,1155.0,1043.149497,1041.124876,38.680368,Entry at next open
IPCALAB.NS,2023-08-25,2023-08-28,894.25,813.527003,810.543,29.542868,Entry at next open
JBCHEPHARM.NS,2022-08-18,2022-08-19,907.424988,825.193499,823.387377,25.233926,Entry at next open
JBCHEPHARM.NS,2025-08-20,2025-08-21,1735.400024,1702.446001,1701.660001,29.892857,Entry at next open
JKCEMENT.NS,2022-10-10,2022-10-11,2579.949951,2669.269004,2668.689498,114.996408,Entry at next open
JBMA.NS,2023-01-06,2023-01-09,267.5,221.73,220.752749,18.042858,Entry at next open
JKTYRE.NS,2020-10-30,2020-11-02,67.199997,60.517,60.39875,3.650001,Entry at next open
JKTYRE.NS,2022-09-07,2022-09-08,160.050003,124.128999,123.59775,6.553569,Entry at next open
JKTYRE.NS,2023-05-16,2023-05-17,199.25,166.397,166.12,7.717855,Entry at next open
JKTYRE.NS,2025-07-03,2025-07-04,369.450012,353.262001,352.06425,10.075001,Entry at next open
JMFINANCIL.NS,2020-11-27,2020-12-01,82.400002,78.162,78.06925,2.692857,Entry at next open
JMFINANCIL.NS,2021-06-17,2021-06-18,96.75,84.483,84.38875,4.22857,Entry at next open
JMFINANCIL.NS,2022-10-17,2022-10-18,69.199997,67.049,66.99425,2.817857,Entry at next open
JMFINANCIL.NS,2023-07-06,2023-07-07,73.800003,68.925,68.839,2.032143,Entry at next open
JMFINANCIL.NS,2024-08-07,2024-08-08,97.589996,89.990399,89.86485,4.114286,Entry at next open
JMFINANCIL.NS,2025-06-26,2025-06-27,156.75,122.9158,122.03365,7.376429,Entry at next open
JSWENERGY.NS,2022-09-20,2022-09-21,340.0,294.6,293.92575,16.135712,Entry at next open
JSWENERGY.NS,2023-07-26,2023-07-27,293.5,273.017999,273.00975,11.649996,Entry at next open
JSWHL.NS,2022-10-07,2022-10-10,4217.5,3840.135,3825.157993,314.5143,Entry at next open
JSWHL.NS,2023-06-06,2023-06-07,4195.049805,4095.943989,4091.552749,80.628627,Entry at next open
JSWINFRA.NS,2025-07-08,2025-07-09,311.950012,298.875999,298.8555,7.746429,Entry at next open
JSWSTEEL.NS,2022-04-20,2022-04-21,744.0,680.305999,679.959,25.124996,Entry at next open
JSWSTEEL.NS,2022-09-21,2022-09-22,681.0,646.757997,646.370749,13.653573,Entry at next open
JSWSTEEL.NS,2023-05-26,2023-05-29,703.25,700.228997,700.146499,14.646423,Entry at next open
JSWSTEEL.NS,2025-03-12,2025-03-13,1014.900024,947.944,946.628999,22.91786,Entry at next open
JPPOWER.NS,2022-09-07,2022-09-08,8.85,7.094,7.0935,0.478571,Entry at next open
JPPOWER.NS,2023-09-01,2023-09-04,8.3,6.662,6.64275,0.421429,Entry at next open
JPPOWER.NS,2024-12-02,2024-12-03,18.639999,18.4556,18.4514,0.842143,Entry at next open
JPPOWER.NS,2025-07-10,2025-07-11,23.15,16.6588,16.6449,1.099286,Entry at next open
J&KBANK.NS,2020-11-27,2020-12-01,24.0,16.042,16.01475,1.5,Entry at next open
J&KBANK.NS,2022-11-04,2022-11-07,42.099998,32.167,31.93575,2.125,Entry at next open
J&KBANK.NS,2025-06-12,2025-06-13,104.510002,99.733801,99.59325,3.232142,Entry at next open
JINDALSAW.NS,2020-11-09,2020-11-10,30.85,31.4125,31.40775,0.994643,Entry at next open
JINDALSAW.NS,2022-12-15,2022-12-16,51.25,43.352,43.269,1.925,Entry at next open
JSL.NS,2022-12-01,2022-12-02,177.0,147.482001,147.25875,7.046428,Entry at next open
JSL.NS,2025-07-10,2025-07-11,681.799988,663.574995,662.442246,19.507159,Entry at next open
JINDALSTEL.NS,2022-02-25,2022-02-28,394.0,399.695999,399.49675,20.125002,Entry at next open
JINDALSTEL.NS,2022-10-20,2022-10-21,443.899994,424.207,424.056249,13.089279,Entry at next open
JINDALSTEL.NS,2025-06-24,2025-06-25,930.450012,920.430001,919.519498,21.949999,Entry at next open
JIOFIN.NS,2025-07-04,2025-07-07,324.950012,285.675999,285.20225,7.821429,Entry at next open
JUBLFOOD.NS,2022-09-26,2022-09-27,609.099976,591.562003,591.391299,20.589299,Entry at next open
JUBLFOOD.NS,2023-08-21,2023-08-22,484.899994,487.089999,486.906749,13.878571,Entry at next open
JUBLFOOD.NS,2024-07-09,2024-07-10,573.450012,511.297997,509.385749,16.292855,Entry at next open
JUBLINGREA.NS,2022-10-25,2022-10-27,544.0,505.947,505.863749,23.242855,Entry at next open
JUBLINGREA.NS,2023-09-18,2023-09-20,475.0,452.964998,451.808999,16.017864,Entry at next open
JUBLINGREA.NS,2025-07-09,2025-07-10,809.900024,719.081996,717.599749,27.160714,Entry at next open
JUBLPHARMA.NS,2022-12-29,2022-12-30,377.100006,379.505999,378.550249,16.317856,Entry at next open
JUBLPHARMA.NS,2023-06-26,2023-06-27,405.649994,344.338,343.487749,14.432142,Entry at next open
JUBLPHARMA.NS,2025-07-02,2025-07-03,1206.0,1051.603999,1050.510499,44.67858,Entry at next open
JWL.NS,2021-06-08,2021-06-09,21.950001,17.848,17.79025,1.225,Entry at next open
JUSTDIAL.NS,2020-10-27,2020-10-28,658.799988,416.393999,411.9015,51.546435,Entry at next open
JUSTDIAL.NS,2023-02-14,2023-02-15,637.5,609.866,608.531249,22.335724,Entry at next open
JYOTHYLAB.NS,2021-06-03,2021-06-04,157.850006,146.062999,145.97175,4.860713,Entry at next open
JYOTHYLAB.NS,2022-06-09,2022-06-10,151.300003,151.091,150.8955,7.060715,Entry at next open
JYOTHYLAB.NS,2023-05-25,2023-05-26,209.5,195.803,195.787,4.475,Entry at next open
JYOTHYLAB.NS,2024-07-02,2024-07-03,480.0,433.768002,433.613001,16.521428,Entry at next open
JYOTICNC.NS,2025-06-06,2025-06-09,1222.0,1146.017,1145.578247,48.685721,Entry at next open
KPRMILL.NS,2023-03-15,2023-03-16,597.200012,554.805997,554.7375,19.150003,Entry at next open
KPRMILL.NS,2025-05-07,2025-05-08,1100.0,932.087,929.9845,41.050001,Entry at next open
KEI.NS,2020-12-03,2020-12-04,427.600006,351.921,351.727,15.732141,Entry at next open
KEI.NS,2025-01-09,2025-01-10,4197.049805,4206.818994,4205.366495,121.139335,Entry at next open
KEI.NS,2025-01-28,2025-01-29,3925.25,4246.337007,4245.725245,187.385795,Entry at next open
KEI.NS,2025-07-29,2025-07-30,3935.0,3733.878013,3723.78,104.342808,Entry at next open
KNRCON.NS,2023-01-09,2023-01-10,263.5,250.769001,249.8465,11.032147,Entry at next open
KNRCON.NS,2023-09-07,2023-09-08,272.149994,252.282,251.97525,8.35357,Entry at next open
KNRCON.NS,2024-06-07,2024-06-10,378.600006,270.531001,269.6605,25.885714,Entry at next open
KNRCON.NS,2025-01-06,2025-01-07,332.549988,318.168,318.0055,12.757145,Entry at next open
KPITTECH.NS,2022-09-27,2022-09-28,649.799988,561.866003,559.717751,28.685708,Entry at next open
KAJARIACER.NS,2022-09-14,2022-09-15,1189.949951,1106.792992,1106.455001,28.567862,Entry at next open
KAJARIACER.NS,2023-05-30,2023-05-31,1275.0,1120.209008,1117.735251,38.996425,Entry at next open
KAJARIACER.NS,2024-07-10,2024-07-11,1422.0,1297.331003,1294.056998,52.621425,Entry at next open
KAJARIACER.NS,2025-07-18,2025-07-21,1235.5,1060.631001,1054.805002,36.092869,Entry at next open
KPIL.NS,2025-07-10,2025-07-11,1199.199951,1128.500999,1126.456252,36.642866,Entry at next open
KALYANKJIL.NS,2022-08-25,2022-08-26,82.0,65.161,65.03275,3.003571,Entry at next open
KALYANKJIL.NS,2023-06-22,2023-06-23,123.5,108.763,108.62125,5.499999,Entry at next open
KANSAINER.NS,2022-09-28,2022-09-29,328.466675,317.445333,316.508334,10.828563,Entry at next open
KANSAINER.NS,2023-07-10,2023-07-11,308.350006,287.476999,286.65875,9.973809,Entry at next open
KANSAINER.NS,2024-09-25,2024-09-26,309.5,296.766999,296.4395,7.453574,Entry at next open
KARURVYSYA.NS,2020-10-21,2020-10-22,26.208332,29.097499,29.062916,0.833333,Entry at next open
KARURVYSYA.NS,2022-03-14,2022-03-15,38.458332,40.984166,40.975207,1.982143,Entry at next open
KARURVYSYA.NS,2022-08-08,2022-08-10,52.083332,40.954999,40.752915,2.315476,Entry at next open
KARURVYSYA.NS,2025-06-09,2025-06-10,198.558334,182.925167,182.826626,6.093454,Entry at next open
KAYNES.NS,2025-05-30,2025-06-02,5983.0,5495.422988,5470.115248,214.857143,Entry at next open
KEC.NS,2022-09-20,2022-09-21,426.299988,427.498,427.299001,16.960715,Entry at next open
KEC.NS,2022-11-02,2022-11-03,432.0,423.960001,423.278251,13.33929,Entry at next open
KFINTECH.NS,2025-06-04,2025-06-05,1180.0,1095.305005,1094.923501,35.514282,Entry at next open
KIRLOSBROS.NS,2020-12-03,2020-12-04,138.800003,114.839,114.778,7.403572,Entry at next open
KIRLOSBROS.NS,2022-09-05,2022-09-06,337.450012,323.324001,323.22425,13.414285,Entry at next open
KIRLOSBROS.NS,2023-03-01,2023-03-02,370.0,331.918,331.4825,16.564283,Entry at next open
KIRLOSBROS.NS,2025-07-04,2025-07-07,2325.0,1884.797991,1881.939243,140.128575,Entry at next open
KIRLOSENG.NS,2020-12-15,2020-12-16,121.650002,108.12,107.99575,4.603572,Entry at next open
KIRLOSENG.NS,2022-09-01,2022-09-02,227.300003,161.412,160.3125,11.885713,Entry at next open
KIRLOSENG.NS,2025-08-08,2025-08-11,905.0,885.037997,884.821499,31.896441,Entry at next open
KOTAKBANK.NS,2020-11-05,2020-11-06,1660.0,1378.870996,1378.249749,58.35001,Entry at next open
KOTAKBANK.NS,2021-10-06,2021-10-07,1968.0,1827.65499,1825.192996,48.635707,Entry at next open
KOTAKBANK.NS,2022-09-12,2022-09-13,1933.0,1824.964998,1820.097998,42.782131,Entry at next open
KOTAKBANK.NS,2023-05-26,2023-05-29,1963.099976,1841.644001,1841.227003,30.257124,Entry at next open
KOTAKBANK.NS,2024-07-30,2024-07-31,1793.0,1763.659998,1763.535748,41.349984,Entry at next open
KOTAKBANK.NS,2025-01-22,2025-01-23,1907.099976,1775.372998,1773.959501,47.571411,Entry at next open
KIMS.NS,2022-10-14,2022-10-17,291.390015,261.2002,260.8452,13.500715,Entry at next open
KIMS.NS,2024-07-23,2024-07-24,424.690002,401.435998,401.378699,9.985711,Entry at next open
LTF.NS,2020-12-04,2020-12-07,82.408104,63.328673,62.744329,3.70717,Entry at next open
LTF.NS,2022-05-26,2022-05-27,74.800003,80.445,80.3045,3.35357,Entry at next open
LTF.NS,2022-09-19,2022-09-20,81.300003,76.132,76.12925,2.739286,Entry at next open
LTF.NS,2025-05-14,2025-05-15,175.210007,155.259001,154.83095,6.170712,Entry at next open
LTTS.NS,2022-12-21,2022-12-22,4004.800049,3788.491025,3786.801757,111.357143,Entry at next open
LTTS.NS,2023-06-06,2023-06-07,3879.899902,3661.056016,3660.910259,85.446411,Entry at next open
LTTS.NS,2024-08-26,2024-08-27,5520.0,5041.913994,5041.051995,120.442836,Entry at next open
LTTS.NS,2025-01-22,2025-01-23,5380.0,5113.020986,5106.857502,175.100063,Entry at next open
LICHSGFIN.NS,2020-11-05,2020-11-06,308.0,293.236999,292.331499,10.317856,Entry at next open
LICHSGFIN.NS,2022-09-02,2022-09-05,419.950012,369.434,369.0005,10.93214,Entry at next open
LICHSGFIN.NS,2023-07-12,2023-07-13,394.25,380.652,380.5905,10.06786,Entry at next open
LICHSGFIN.NS,2025-06-20,2025-06-23,589.0,599.625001,599.468249,14.846418,Entry at next open
LTFOODS.NS,2025-06-18,2025-06-19,438.0,391.596999,390.8105,17.325006,Entry at next open
LTIM.NS,2023-03-06,2023-03-08,4777.0,4515.409004,4509.099751,122.88923,Entry at next open
LTIM.NS,2023-05-31,2023-06-01,5018.75,4622.624004,4621.201748,104.617885,Entry at next open
LTIM.NS,2024-08-13,2024-08-14,5395.0,5333.577012,5325.017246,153.192871,Entry at next open
LT.NS,2020-11-25,2020-11-26,1130.0,957.839994,953.775,37.264308,Entry at next open
LT.NS,2022-09-07,2022-09-08,1967.900024,1772.222004,1769.741251,44.339294,Entry at next open
LT.NS,2024-12-12,2024-12-13,3859.0,3605.333003,3605.064746,85.082136,Entry at next open
LT.NS,2025-06-25,2025-06-26,3620.100098,3515.518003,3512.346741,65.249965,Entry at next open
LATENTVIEW.NS,2023-08-04,2023-08-07,382.5,358.989999,358.701,12.58929,Entry at next open
LAURUSLABS.NS,2022-05-04,2022-05-05,582.099976,576.223995,575.417499,22.41786,Entry at next open
LAURUSLABS.NS,2022-09-15,2022-09-16,529.900024,538.798,538.292999,14.175005,Entry at next open
LAURUSLABS.NS,2023-08-10,2023-08-11,399.0,359.388999,359.185999,13.835715,Entry at next open
LEMONTREE.NS,2020-11-24,2020-11-25,33.25,28.533,28.43475,1.796429,Entry at next open
LEMONTREE.NS,2021-09-30,2021-10-01,45.299999,40.264,40.21825,2.464286,Entry at next open
LEMONTREE.NS,2023-05-16,2023-05-17,94.650002,81.585,81.375,3.207142,Entry at next open
LEMONTREE.NS,2025-01-10,2025-01-13,137.0,136.758601,136.41795,5.799283,Entry at next open
LEMONTREE.NS,2025-04-22,2025-04-23,147.869995,134.089401,134.06185,6.25214,Entry at next open
LEMONTREE.NS,2025-04-29,2025-04-30,137.740005,133.9662,133.9537,5.665713,Entry at next open
LICI.NS,2023-08-04,2023-08-07,659.099976,618.985002,618.421,12.13215,Entry at next open
LICI.NS,2025-06-27,2025-06-30,957.700012,880.342004,879.058504,17.92858,Entry at next open
