ticker,side,date,price,shares,reason,turnover,fees_inr,pnl_inr,rsi,macd,macd_sig,bb_up,bb_lo,ema_fast,ema_slow,ema_htf,trend_strength,close,high_52w,volar,mvo_weight,alloc_inr,adx
HCLTECH.NS,BUY,2011-01-04,81.0915756225586,183,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=98.8%; VOLAR rank 3/3 (VOLAR=0.43); MVO weight=29.7% of capped cash (25% of available)",14839.758338928223,35.13173293012871,0.0,68.66504244442176,1.9491912991614413,2.0072296580480944,82.4059825502559,74.73653377664839,79.758593124546,75.61776806782126,70.69902808040983,0.05185064101165624,79.86063385009766,80.8014144897461,0.4269065061730834,0.2968926816237665,14844.634081188324,11.093786910926298
LINDEINDIA.NS,BUY,2011-01-04,333.65545654296875,89,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=100.0%; VOLAR rank 1/3 (VOLAR=1.41); MVO weight=59.5% of capped cash (25% of available)",29695.33563232422,58.860419701835575,0.0,86.31631099814453,5.978201433480081,2.678323673646389,328.437597492608,279.9479951587592,315.02773226018513,302.90336003348415,268.1821588209873,0.03575280207265776,339.11669921875,339.11669921875,1.414407672384654,0.595022607505331,29751.130375266548,14.99827607910486
SARDAEN.NS,BUY,2011-01-04,26.12173843383789,206,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=91.7%; VOLAR rank 2/3 (VOLAR=0.57); MVO weight=10.8% of capped cash (25% of available)",5381.0781173706055,12.739196621531875,0.0,71.71602578045402,0.25843354202928737,0.0014490640700903126,27.068153914804363,21.515758362417316,24.89895511641301,24.078912446761485,21.81163806903057,0.03073425197942644,26.681718826293945,29.095136642456055,0.5677218037531883,0.10808471087090259,5404.235543545129,16.306568743259422
COROMANDEL.NS,BUY,2011-01-05,225.8619842529297,68,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=88.6%; VOLAR rank 2/3 (VOLAR=2.34); MVO weight=33.4% of capped cash (25% of available)",15358.614929199219,36.360077135075805,0.0,40.64377565187472,1.5280014417946575,1.4178757348483664,252.1542613365044,217.65855909806592,237.10400245275,234.3000629435201,199.8151401944028,0.012092130469185369,231.88134765625,261.82501220703125,2.344832043692962,0.33420247783818857,15386.062687722673,29.45510204175702
LINDEINDIA.NS,SELL,2011-01-05,326.32038707078937,89,stop,29042.51444930025,77.32887874479079,-789.0104814705916,76.61936495264922,7.160488120954483,3.574756563108008,333.19647323898363,278.5223774690242,318.41459122069125,304.1093246024835,268.833634420211,0.042874367368140036,333.65545654296875,339.11669921875,,,,16.32749776677726
SARDAEN.NS,SELL,2011-01-05,25.463766877560104,206,stop,5245.535976777382,35.23148294812203,-183.5128201628779,62.009806754479946,0.3449720213482941,0.07015365552573107,26.551364944223295,21.841681625600927,25.121279355944804,24.15902326978409,21.85452463982467,0.03683736779609642,26.12173843383789,29.095136642456055,,,,15.51011193147056
TITAN.NS,BUY,2011-01-05,169.02047729492188,118,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=88.2%; VOLAR rank 1/3 (VOLAR=2.70); MVO weight=43.4% of capped cash (25% of available)",19944.41632080078,47.2165308643617,0.0,55.10573578532178,-0.07085892537671157,-1.5216372871115538,172.02720434195962,152.43873498909508,165.1111081021484,163.59294806213654,136.06323740336975,0.00894110067951127,169.795654296875,192.4849395751953,2.7008325445027874,0.4342192791181084,19990.650853174346,25.76946334002167
UBL.NS,BUY,2011-01-05,478.3518981933594,22,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=98.7%; VOLAR rank 3/3 (VOLAR=2.18); MVO weight=23.2% of capped cash (25% of available)",10523.741760253906,24.91396938567566,0.0,73.56293133260161,23.5746703068408,17.980829497860633,526.3534063638693,359.37853943691186,475.33866460065923,428.74336352480185,338.29742754670633,0.09455848552653963,492.7669982910156,499.2755432128906,2.177694017275576,0.23157824304370306,10661.433115730022,28.31941573431199
COROMANDEL.NS,SELL,2011-01-06,222.4113638676397,68,indicator_exit_macd_bear,15123.9727429995,57.13598790416354,-328.13825123895896,41.12384550080053,0.5409035600722234,1.2424812998931378,252.08922921066167,217.82903250808832,235.05999914369175,233.96915789683027,200.0743127720996,0.004829680614334448,225.8619842529297,261.82501220703125,,,,30.641761292981194
HCLTECH.NS,SELL,2011-01-06,83.4127293641805,183,indicator_exit_rsi_ob,15264.529473645032,57.44765924203733,332.19174254464406,73.18485826463429,2.0550729988407426,2.0048924418964194,83.07887725243006,75.3200622617301,80.557336208858,76.11590290749012,70.92441284730454,0.053471908568657175,83.0610580444336,83.0610580444336,,,,11.601505331137556
